time	V(highside)	V(highside)-V(out)	V(lowside)	V(out)
1.378980665628809e-09	1.438555e-08	6.033041e-11	5.061791e-11	1.432522e-08
1.378981487647542e-09	1.438116e-08	6.152234e-11	4.939718e-11	1.431964e-08
1.378983131685009e-09	1.439780e-08	5.681855e-11	5.407928e-11	1.434098e-08
1.378986419759942e-09	1.441372e-08	5.234302e-11	5.855007e-11	1.436138e-08
1.378987241778676e-09	1.441009e-08	5.335288e-11	5.753366e-11	1.435674e-08
1.378988885816142e-09	1.478637e-08	-5.191492e-11	1.630990e-10	1.483829e-08
1.378988937192313e-09	1.472194e-08	-3.537171e-11	1.453452e-10	1.475731e-08
1.378988950036356e-09	1.453925e-08	1.491074e-11	9.427262e-11	1.452434e-08
1.378988975724441e-09	1.406459e-08	1.476268e-10	-3.887729e-11	1.391697e-08
1.378989027100612e-09	1.380463e-08	2.223697e-10	-1.122511e-10	1.358226e-08
1.378989129852954e-09	1.402047e-08	1.624469e-10	-5.179159e-11	1.385802e-08
1.378989335357637e-09	1.431209e-08	8.046985e-11	3.011357e-11	1.423162e-08
1.378989386733808e-09	1.434903e-08	7.020606e-11	4.046175e-11	1.427882e-08
1.378989489486150e-09	1.438618e-08	6.013767e-11	5.081306e-11	1.432604e-08
1.378989694990833e-09	1.428955e-08	8.743317e-11	2.364889e-11	1.420212e-08
1.378990106000200e-09	1.426422e-08	9.407053e-11	1.664702e-11	1.417015e-08
1.378990928018933e-09	1.426770e-08	9.274981e-11	1.771003e-11	1.417495e-08
1.378991133523616e-09	1.423473e-08	1.019789e-10	8.463495e-12	1.413275e-08
1.378991544532983e-09	1.421137e-08	1.084981e-10	1.924102e-12	1.410288e-08
1.378992366551716e-09	1.429366e-08	8.530243e-11	2.506003e-11	1.420836e-08
1.378994010589183e-09	1.436500e-08	6.518519e-11	4.512279e-11	1.429982e-08
1.378994421598550e-09	1.435264e-08	6.869261e-11	4.164707e-11	1.428395e-08
1.378995243617283e-09	1.434024e-08	7.215650e-11	3.817510e-11	1.426808e-08
1.378996887654750e-09	1.438488e-08	5.937117e-11	5.077293e-11	1.432551e-08
1.378998326921191e-09	1.442154e-08	4.897505e-11	6.108943e-11	1.437257e-08
1.378999791933772e-09	1.442597e-08	4.773604e-11	6.232870e-11	1.437824e-08
1.378999973091082e-09	1.440574e-08	5.345058e-11	5.664039e-11	1.435229e-08
1.379000335405700e-09	1.437014e-08	6.368150e-11	4.659443e-11	1.430646e-08
1.379000425984354e-09	1.437092e-08	6.359180e-11	4.678521e-11	1.430732e-08
1.379000607141664e-09	1.437147e-08	6.356426e-11	4.691405e-11	1.430791e-08
1.379000969456282e-09	1.437824e-08	6.146550e-11	4.885868e-11	1.431677e-08
1.379001694085518e-09	1.439350e-08	5.694734e-11	5.319726e-11	1.433656e-08
1.379001875242828e-09	1.438541e-08	5.924505e-11	5.091914e-11	1.432616e-08
1.379002237557446e-09	1.436930e-08	6.380052e-11	4.639199e-11	1.430550e-08
1.379002962186682e-09	1.440788e-08	5.279777e-11	5.726362e-11	1.435508e-08
1.379003143343992e-09	1.472914e-08	-3.737810e-11	1.474582e-10	1.476652e-08
1.379003188633319e-09	1.524961e-08	-1.878497e-10	2.945428e-10	1.543746e-08
1.379003199955651e-09	1.561251e-08	-2.854090e-10	3.954847e-10	1.589792e-08
1.379003202786233e-09	1.571012e-08	-3.078675e-10	4.218054e-10	1.601798e-08
1.379003208447399e-09	1.590038e-08	-3.300737e-10	4.683824e-10	1.623045e-08
1.379003209862691e-09	7.344890e-10	3.910822e-09	-3.786056e-09	-3.176333e-09
1.379003210862691e-09	-1.047130e-08	7.037105e-09	-6.927993e-09	-1.750841e-08
