in s,C1 in V
-2.9917792E-03,2.33154E+01
-2.9917328E-03,2.34619E+01
-2.9916864E-03,2.33154E+01
-2.9916400E-03,2.34131E+01
-2.9915936E-03,2.33154E+01
-2.9915472E-03,2.33643E+01
-2.9915008E-03,2.32178E+01
-2.9914544E-03,2.34131E+01
-2.9914080E-03,2.33643E+01
-2.9913616E-03,2.35107E+01
-2.9913152E-03,2.35596E+01
-2.9912688E-03,2.32666E+01
-2.9912224E-03,2.33154E+01
-2.9911760E-03,2.33643E+01
-2.9911296E-03,2.34131E+01
-2.9910832E-03,2.36084E+01
-2.9910368E-03,2.33154E+01
-2.9909904E-03,2.33154E+01
-2.9909440E-03,2.35596E+01
-2.9908976E-03,2.34131E+01
-2.9908512E-03,2.33154E+01
-2.9908048E-03,2.36084E+01
-2.9907584E-03,2.32666E+01
-2.9907120E-03,2.32666E+01
-2.9906656E-03,2.32666E+01
-2.9906192E-03,2.32178E+01
-2.9905728E-03,2.32666E+01
-2.9905264E-03,2.34131E+01
-2.9904800E-03,2.33643E+01
-2.9904336E-03,2.34131E+01
-2.9903872E-03,2.36084E+01
-2.9903408E-03,2.34131E+01
-2.9902944E-03,2.32666E+01
-2.9902480E-03,2.33643E+01
-2.9902016E-03,2.33154E+01
-2.9901552E-03,2.33643E+01
-2.9901088E-03,2.34131E+01
-2.9900624E-03,2.34131E+01
-2.9900160E-03,2.32666E+01
-2.9899696E-03,2.32178E+01
-2.9899232E-03,2.34131E+01
-2.9898768E-03,2.33643E+01
-2.9898304E-03,2.31201E+01
-2.9897840E-03,2.32178E+01
-2.9897376E-03,2.32666E+01
-2.9896912E-03,2.34131E+01
-2.9896448E-03,2.35596E+01
-2.9895984E-03,2.34619E+01
-2.9895520E-03,2.33154E+01
-2.9895056E-03,2.34619E+01
-2.9894592E-03,2.34131E+01
-2.9894128E-03,2.34131E+01
-2.9893664E-03,2.33154E+01
-2.9893200E-03,2.33643E+01
-2.9892736E-03,2.34619E+01
-2.9892272E-03,2.35107E+01
-2.9891808E-03,2.34131E+01
-2.9891344E-03,2.34619E+01
-2.9890880E-03,2.34131E+01
-2.9890416E-03,2.34131E+01
-2.9889952E-03,2.33643E+01
-2.9889488E-03,2.33154E+01
-2.9889024E-03,2.33643E+01
-2.9888560E-03,2.34619E+01
-2.9888096E-03,2.33154E+01
-2.9887632E-03,2.33643E+01
-2.9887168E-03,2.34619E+01
-2.9886704E-03,2.33643E+01
-2.9886240E-03,2.33154E+01
-2.9885776E-03,2.33154E+01
-2.9885312E-03,2.33643E+01
-2.9884848E-03,2.33154E+01
-2.9884384E-03,2.33154E+01
-2.9883920E-03,2.33643E+01
-2.9883456E-03,2.33154E+01
-2.9882992E-03,2.32666E+01
-2.9882528E-03,2.34131E+01
-2.9882064E-03,2.34619E+01
-2.9881600E-03,2.33643E+01
-2.9881136E-03,2.33154E+01
-2.9880672E-03,2.33154E+01
-2.9880208E-03,2.35107E+01
-2.9879744E-03,2.34619E+01
-2.9879280E-03,2.32666E+01
-2.9878816E-03,2.34619E+01
-2.9878352E-03,2.34131E+01
-2.9877888E-03,2.34131E+01
-2.9877424E-03,2.32666E+01
-2.9876960E-03,2.35107E+01
-2.9876496E-03,2.33643E+01
-2.9876032E-03,2.34131E+01
-2.9875568E-03,2.32666E+01
-2.9875104E-03,2.34131E+01
-2.9874640E-03,2.32666E+01
-2.9874176E-03,2.34131E+01
-2.9873712E-03,2.34131E+01
-2.9873248E-03,2.34131E+01
-2.9872784E-03,2.33643E+01
-2.9872320E-03,2.35596E+01
-2.9871856E-03,2.31689E+01
-2.9871392E-03,2.34619E+01
-2.9870928E-03,2.34131E+01
-2.9870464E-03,2.34619E+01
-2.9870000E-03,2.35596E+01
-2.9869536E-03,2.33154E+01
-2.9869072E-03,2.34131E+01
-2.9868608E-03,2.33643E+01
-2.9868144E-03,2.35107E+01
-2.9867680E-03,2.33154E+01
-2.9867216E-03,2.33154E+01
-2.9866752E-03,2.35596E+01
-2.9866288E-03,2.34619E+01
-2.9865824E-03,2.34131E+01
-2.9865360E-03,2.34131E+01
-2.9864896E-03,2.32666E+01
-2.9864432E-03,2.32666E+01
-2.9863968E-03,2.33643E+01
-2.9863504E-03,2.33643E+01
-2.9863040E-03,2.34619E+01
-2.9862576E-03,2.34131E+01
-2.9862112E-03,2.34619E+01
-2.9861648E-03,2.33643E+01
-2.9861184E-03,2.34131E+01
-2.9860720E-03,2.34619E+01
-2.9860256E-03,2.34619E+01
-2.9859792E-03,2.35107E+01
-2.9859328E-03,2.33643E+01
-2.9858864E-03,2.34619E+01
-2.9858400E-03,2.34131E+01
-2.9857936E-03,2.34131E+01
-2.9857472E-03,2.34131E+01
-2.9857008E-03,2.34619E+01
-2.9856544E-03,2.33643E+01
-2.9856080E-03,2.33643E+01
-2.9855616E-03,2.34131E+01
-2.9855152E-03,2.32666E+01
-2.9854688E-03,2.33154E+01
-2.9854224E-03,2.34131E+01
-2.9853760E-03,2.34131E+01
-2.9853296E-03,2.35596E+01
-2.9852832E-03,2.32666E+01
-2.9852368E-03,2.34619E+01
-2.9851904E-03,2.34131E+01
-2.9851440E-03,2.33643E+01
-2.9850976E-03,2.33154E+01
-2.9850512E-03,2.35596E+01
-2.9850048E-03,2.34619E+01
-2.9849584E-03,2.32666E+01
-2.9849120E-03,2.33154E+01
-2.9848656E-03,2.34619E+01
-2.9848192E-03,2.34619E+01
-2.9847728E-03,2.33643E+01
-2.9847264E-03,2.33154E+01
-2.9846800E-03,2.34131E+01
-2.9846336E-03,2.33643E+01
-2.9845872E-03,2.33154E+01
-2.9845408E-03,2.33643E+01
-2.9844944E-03,2.33643E+01
-2.9844480E-03,2.32666E+01
-2.9844016E-03,2.34131E+01
-2.9843552E-03,2.34131E+01
-2.9843088E-03,2.33154E+01
-2.9842624E-03,2.32178E+01
-2.9842160E-03,2.32666E+01
-2.9841696E-03,2.33643E+01
-2.9841232E-03,2.33643E+01
-2.9840768E-03,2.34131E+01
-2.9840304E-03,2.35596E+01
-2.9839840E-03,2.33643E+01
-2.9839376E-03,2.34131E+01
-2.9838912E-03,2.33154E+01
-2.9838448E-03,2.35596E+01
-2.9837984E-03,2.35107E+01
-2.9837520E-03,2.34131E+01
-2.9837056E-03,2.32666E+01
-2.9836592E-03,2.34619E+01
-2.9836128E-03,2.34619E+01
-2.9835664E-03,2.34131E+01
-2.9835200E-03,2.34131E+01
-2.9834736E-03,2.33643E+01
-2.9834272E-03,2.34619E+01
-2.9833808E-03,2.34131E+01
-2.9833344E-03,2.34619E+01
-2.9832880E-03,2.32666E+01
-2.9832416E-03,2.32666E+01
-2.9831952E-03,2.34131E+01
-2.9831488E-03,2.35107E+01
-2.9831024E-03,2.32178E+01
-2.9830560E-03,2.34131E+01
-2.9830096E-03,2.35107E+01
-2.9829632E-03,2.33643E+01
-2.9829168E-03,2.33643E+01
-2.9828704E-03,2.33643E+01
-2.9828240E-03,2.34131E+01
-2.9827776E-03,2.34131E+01
-2.9827312E-03,2.33643E+01
-2.9826848E-03,2.34131E+01
-2.9826384E-03,2.34131E+01
-2.9825920E-03,2.33643E+01
-2.9825456E-03,2.33154E+01
-2.9824992E-03,2.32666E+01
-2.9824528E-03,2.34619E+01
-2.9824064E-03,2.32666E+01
-2.9823600E-03,2.33643E+01
-2.9823136E-03,2.35596E+01
-2.9822672E-03,2.35107E+01
-2.9822208E-03,2.33643E+01
-2.9821744E-03,2.35596E+01
-2.9821280E-03,2.32666E+01
-2.9820816E-03,2.34619E+01
-2.9820352E-03,2.34131E+01
-2.9819888E-03,2.32666E+01
-2.9819424E-03,2.33154E+01
-2.9818960E-03,2.34131E+01
-2.9818496E-03,2.33643E+01
-2.9818032E-03,2.34619E+01
-2.9817568E-03,2.32666E+01
-2.9817104E-03,2.34131E+01
-2.9816640E-03,2.35107E+01
-2.9816176E-03,2.35107E+01
-2.9815712E-03,2.34619E+01
-2.9815248E-03,2.34131E+01
-2.9814784E-03,2.34131E+01
-2.9814320E-03,2.33643E+01
-2.9813856E-03,2.34619E+01
-2.9813392E-03,2.34619E+01
-2.9812928E-03,2.34131E+01
-2.9812464E-03,2.33643E+01
-2.9812000E-03,2.32666E+01
-2.9811536E-03,2.33643E+01
-2.9811072E-03,2.35596E+01
-2.9810608E-03,2.33643E+01
-2.9810144E-03,2.33154E+01
-2.9809680E-03,2.34619E+01
-2.9809216E-03,2.32666E+01
-2.9808752E-03,2.35107E+01
-2.9808288E-03,2.33154E+01
-2.9807824E-03,2.34131E+01
-2.9807360E-03,2.33643E+01
-2.9806896E-03,2.35596E+01
-2.9806432E-03,2.34619E+01
-2.9805968E-03,2.34619E+01
-2.9805504E-03,2.33643E+01
-2.9805040E-03,2.33154E+01
-2.9804576E-03,2.33643E+01
-2.9804112E-03,2.35107E+01
-2.9803648E-03,2.33154E+01
-2.9803184E-03,2.32666E+01
-2.9802720E-03,2.34131E+01
-2.9802256E-03,2.33643E+01
-2.9801792E-03,2.34131E+01
-2.9801328E-03,2.33643E+01
-2.9800864E-03,2.34131E+01
-2.9800400E-03,2.34619E+01
-2.9799936E-03,2.34131E+01
